"","word","sentiment","n"
"628","believed","trust",7
"629","blessed","joy",7
"630","blessed","positive",7
"631","campaigning","anger",7
"632","campaigning","fear",7
"633","campaigning","negative",7
"634","citizen","positive",7
"635","convention","positive",7
"636","council","anticipation",7
"637","council","positive",7
"638","council","trust",7
"639","culture","positive",7
"640","dark","sadness",7
"641","dinner","positive",7
"642","established","joy",7
"643","established","positive",7
"644","exciting","anticipation",7
"645","exciting","joy",7
"646","exciting","positive",7
"647","exciting","surprise",7
"648","father","trust",7
"649","focus","positive",7
"650","glad","anticipation",7
"651","glad","joy",7
"652","glad","positive",7
"653","humane","positive",7
"654","illegal","anger",7
"655","illegal","disgust",7
"656","illegal","fear",7
"657","illegal","negative",7
"658","illegal","sadness",7
"659","include","positive",7
"660","included","positive",7
"661","increase","positive",7
"662","integrity","positive",7
"663","integrity","trust",7
"664","john","disgust",7
"665","john","negative",7
"666","king","positive",7
"667","lack","negative",7
"668","march","positive",7
"669","model","positive",7
"670","neighbor","anticipation",7
"671","neighbor","positive",7
"672","neighbor","trust",7
"673","police","fear",7
"674","police","positive",7
"675","police","trust",7
"676","progress","anticipation",7
"677","progress","joy",7
"678","progress","positive",7
"679","proof","trust",7
"680","responsible","positive",7
"681","responsible","trust",7
"682","rock","positive",7
"683","shine","positive",7
"684","storm","anger",7
"685","storm","negative",7
"686","surprise","fear",7
"687","surprise","joy",7
"688","surprise","positive",7
"689","surprise","surprise",7
"690","tired","negative",7
"691","unjust","anger",7
"692","unjust","negative",7
"693","wealth","joy",7
"694","wealth","positive",7
"695","wealth","trust",7
"696","attempt","anticipation",6
"697","automatic","trust",6
"698","avoid","fear",6
"699","avoid","negative",6
"700","baby","joy",6
"701","baby","positive",6
"702","bias","anger",6
"703","bias","negative",6
"704","bilingual","positive",6
"705","career","anticipation",6
"706","career","positive",6
"707","catch","surprise",6
"708","church","anticipation",6
"709","church","joy",6
"710","church","positive",6
"711","church","trust",6
"712","controversial","anger",6
"713","controversial","negative",6
"714","dance","joy",6
"715","dance","positive",6
"716","dance","trust",6
"717","death","anger",6
"718","death","anticipation",6
"719","death","disgust",6
"720","death","fear",6
"721","death","negative",6
"722","death","sadness",6
"723","death","surprise",6
"724","disappointed","anger",6
"725","disappointed","disgust",6
"726","disappointed","negative",6
"727","disappointed","sadness",6
"728","elders","positive",6
"729","elders","trust",6
"730","engaged","anticipation",6
"731","engaged","joy",6
"732","engaged","positive",6
"733","engaged","trust",6
"734","expected","anticipation",6
"735","extraordinary","positive",6
"736","fill","trust",6
"737","gift","anticipation",6
"738","gift","joy",6
"739","gift","positive",6
"740","gift","surprise",6
"741","grateful","positive",6
"742","guard","fear",6
"743","guard","positive",6
"744","guard","trust",6
"745","gun","anger",6
"746","gun","fear",6
"747","gun","negative",6
"748","hell","anger",6
"749","hell","disgust",6
"750","hell","fear",6
"751","hell","negative",6
"752","hell","sadness",6
"753","holiday","anticipation",6
"754","holiday","joy",6
"755","holiday","positive",6
"756","immediately","anticipation",6
"757","immediately","negative",6
"758","immediately","positive",6
"759","intelligence","fear",6
"760","intelligence","joy",6
"761","intelligence","positive",6
"762","intelligence","trust",6
"763","losing","anger",6
"764","losing","negative",6
"765","losing","sadness",6
"766","lying","anger",6
"767","lying","disgust",6
"768","lying","negative",6
"769","nonsense","negative",6
"770","opposition","anger",6
"771","opposition","negative",6
"772","pain","fear",6
"773","pain","negative",6
"774","pain","sadness",6
"775","peace","anticipation",6
"776","peace","joy",6
"777","peace","positive",6
"778","peace","trust",6
"779","presence","positive",6
"780","pride","joy",6
"781","pride","positive",6
"782","promise","joy",6
"783","promise","positive",6
"784","promise","trust",6
"785","quote","anticipation",6
"786","quote","negative",6
"787","quote","positive",6
"788","quote","surprise",6
"789","refugee","sadness",6
"790","secret","trust",6
"791","socialism","disgust",6
"792","socialism","fear",6
"793","struggle","anger",6
"794","struggle","fear",6
"795","struggle","negative",6
"796","struggle","sadness",6
"797","supported","positive",6
"798","surprised","surprise",6
"799","touched","negative",6
"800","treat","anger",6
"801","treat","anticipation",6
"802","treat","disgust",6
"803","treat","fear",6
"804","treat","joy",6
"805","treat","negative",6
"806","treat","positive",6
"807","treat","sadness",6
"808","treat","surprise",6
"809","treat","trust",6
"810","urgency","anticipation",6
"811","urgency","fear",6
"812","urgency","surprise",6
"813","violation","anger",6
"814","violation","fear",6
"815","violation","negative",6
"816","violation","sadness",6
"817","violation","surprise",6
"818","visit","positive",6
"819","worry","anticipation",6
"820","worry","fear",6
"821","worry","negative",6
"822","worry","sadness",6
"823","ability","positive",5
"824","abolition","negative",5
"825","accident","fear",5
"826","accident","negative",5
"827","accident","sadness",5
"828","accident","surprise",5
"829","achieve","joy",5
"830","achieve","positive",5
"831","achieve","trust",5
"832","angry","anger",5
"833","angry","disgust",5
"834","angry","negative",5
"835","announcement","anticipation",5
"836","ban","negative",5
"837","bank","trust",5
"838","blast","anger",5
"839","blast","fear",5
"840","blast","negative",5
"841","blast","surprise",5
"842","bother","negative",5
"843","breakdown","negative",5
"844","broke","fear",5
"845","broke","negative",5
"846","broke","sadness",5
"847","compassionate","positive",5
"848","concerned","fear",5
"849","concerned","sadness",5
"850","core","positive",5
"851","crazy","anger",5
"852","crazy","fear",5
"853","crazy","negative",5
"854","crazy","sadness",5
"855","criticism","anger",5
"856","criticism","negative",5
"857","criticism","sadness",5
"858","daughter","joy",5
"859","daughter","positive",5
"860","die","fear",5
"861","die","negative",5
"862","die","sadness",5
"863","discussion","positive",5
"864","emergency","fear",5
"865","emergency","negative",5
"866","emergency","sadness",5
"867","emergency","surprise",5
"868","enjoy","anticipation",5
"869","enjoy","joy",5
"870","enjoy","positive",5
"871","enjoy","trust",5
"872","exchange","positive",5
"873","exchange","trust",5
"874","exposed","negative",5
"875","extra","positive",5
"876","familiar","positive",5
"877","familiar","trust",5
"878","finally","anticipation",5
"879","finally","disgust",5
"880","finally","joy",5
"881","finally","positive",5
"882","finally","surprise",5
"883","finally","trust",5
"884","guilty","anger",5
"885","guilty","negative",5
"886","guilty","sadness",5
"887","hanging","anger",5
"888","hanging","disgust",5
"889","hanging","fear",5
"890","hanging","negative",5
"891","hanging","sadness",5
"892","healthy","positive",5
"893","helpful","joy",5
"894","helpful","positive",5
"895","helpful","trust",5
"896","hospital","fear",5
"897","hospital","sadness",5
"898","hospital","trust",5
"899","humanity","joy",5
"900","humanity","positive",5
"901","humanity","trust",5
"902","ignore","negative",5
"903","information","positive",5
"904","jail","fear",5
"905","jail","negative",5
"906","jail","sadness",5
"907","kick","anger",5
"908","kick","negative",5
"909","minority","negative",5
"910","momentum","anticipation",5
"911","momentum","positive",5
"912","option","positive",5
"913","planning","anticipation",5
"914","planning","positive",5
"915","planning","trust",5
"916","practice","positive",5
"917","pressure","negative",5
"918","quiet","positive",5
"919","quiet","sadness",5
"920","remains","disgust",5
"921","remains","fear",5
"922","remains","negative",5
"923","remains","positive",5
"924","remains","trust",5
"925","resident","positive",5
"926","scientist","anticipation",5
"927","scientist","positive",5
"928","scientist","trust",5
"929","sick","disgust",5
"930","sick","negative",5
"931","sick","sadness",5
"932","sneak","anger",5
"933","sneak","fear",5
"934","sneak","negative",5
"935","sneak","surprise",5
"936","socialist","anger",5
"937","socialist","disgust",5
"938","socialist","fear",5
"939","socialist","negative",5
"940","socialist","sadness",5
"941","spirit","positive",5
"942","structure","positive",5
"943","structure","trust",5
"944","success","anticipation",5
"945","success","joy",5
"946","success","positive",5
"947","threat","anger",5
"948","threat","fear",5
"949","threat","negative",5
"950","ultimate","anticipation",5
"951","ultimate","sadness",5
"952","understanding","positive",5
"953","understanding","trust",5
"954","visionary","anticipation",5
"955","visionary","joy",5
"956","visionary","positive",5
"957","visionary","trust",5
"958","willingness","positive",5
"959","accomplished","joy",4
"960","accomplished","positive",4
"961","accounts","trust",4
"962","advanced","positive",4
"963","advice","trust",4
"964","alive","anticipation",4
"965","alive","joy",4
"966","alive","positive",4
"967","alive","trust",4
"968","ally","positive",4
"969","ally","trust",4
"970","august","positive",4
"971","bartender","trust",4
"972","birth","anticipation",4
"973","birth","fear",4
"974","birth","joy",4
"975","birth","positive",4
"976","birth","trust",4
"977","birthday","anticipation",4
"978","birthday","joy",4
"979","birthday","positive",4
"980","birthday","surprise",4
"981","bonus","anticipation",4
"982","bonus","joy",4
"983","bonus","positive",4
"984","bonus","surprise",4
"985","cable","surprise",4
"986","childhood","joy",4
"987","childhood","positive",4
"988","clean","joy",4
"989","clean","positive",4
"990","clean","trust",4
"991","coalition","positive",4
"992","confident","joy",4
"993","confident","positive",4
"994","confident","trust",4
"995","confirmed","positive",4
"996","confirmed","trust",4
"997","contact","positive",4
"998","contribute","positive",4
"999","corrupt","negative",4
"1000","couch","sadness",4
"1001","dangerous","fear",4
"1002","dangerous","negative",4
"1003","daring","positive",4
"1004","defense","anger",4
"1005","defense","anticipation",4
"1006","defense","fear",4
"1007","defense","positive",4
"1008","degree","positive",4
"1009","delay","anger",4
"1010","delay","disgust",4
"1011","delay","fear",4
"1012","delay","negative",4
"1013","delay","sadness",4
"1014","denial","negative",4
"1015","denying","anticipation",4
"1016","denying","negative",4
"1017","determined","positive",4
"1018","difficult","fear",4
"1019","disagree","anger",4
"1020","disagree","negative",4
"1021","displaced","anger",4
"1022","displaced","fear",4
"1023","displaced","sadness",4
"1024","educate","positive",4
"1025","endless","anger",4
"1026","endless","fear",4
"1027","endless","joy",4
"1028","endless","negative",4
"1029","endless","positive",4
"1030","endless","sadness",4
"1031","endless","trust",4
"1032","engaging","joy",4
"1033","engaging","positive",4
"1034","engaging","trust",4
"1035","establish","trust",4
"1036","excuse","negative",4
"1037","experienced","positive",4
"1038","experienced","trust",4
"1039","feeling","anger",4
"1040","feeling","anticipation",4
"1041","feeling","disgust",4
"1042","feeling","fear",4
"1043","feeling","joy",4
"1044","feeling","negative",4
"1045","feeling","positive",4
"1046","feeling","sadness",4
"1047","feeling","surprise",4
"1048","feeling","trust",4
"1049","flying","fear",4
"1050","flying","positive",4
"1051","forgive","positive",4
"1052","goodness","anticipation",4
"1053","goodness","joy",4
"1054","goodness","positive",4
"1055","goodness","surprise",4
"1056","goodness","trust",4
"1057","grace","positive",4
"1058","grandfather","trust",4
"1059","guts","positive",4
"1060","happiness","anticipation",4
"1061","happiness","joy",4
"1062","happiness","positive",4
"1063","heavily","negative",4
"1064","hero","anticipation",4
"1065","hero","joy",4
"1066","hero","positive",4
"1067","hero","surprise",4
"1068","hero","trust",4
"1069","hide","fear",4
"1070","improved","positive",4
"1071","independence","anticipation",4
"1072","independence","joy",4
"1073","independence","positive",4
"1074","independence","surprise",4
"1075","independence","trust",4
"1076","indivisible","trust",4
"1077","invite","anticipation",4
"1078","invite","joy",4
"1079","invite","positive",4
"1080","invite","surprise",4
"1081","invite","trust",4
"1082","junta","negative",4
"1083","kill","fear",4
"1084","kill","negative",4
"1085","kill","sadness",4
"1086","knowing","positive",4
"1087","laugh","joy",4
"1088","laugh","positive",4
"1089","laugh","surprise",4
"1090","lovely","anticipation",4
"1091","lovely","joy",4
"1092","lovely","positive",4
"1093","lovely","sadness",4
"1094","lovely","surprise",4
"1095","lovely","trust",4
"1096","lower","negative",4
"1097","lower","sadness",4
"1098","luck","anticipation",4
"1099","luck","joy",4
"1100","luck","positive",4
"1101","luck","surprise",4
"1102","lucky","joy",4
"1103","lucky","positive",4
"1104","lucky","surprise",4
"1105","missing","fear",4
"1106","missing","negative",4
"1107","missing","sadness",4
"1108","music","joy",4
"1109","music","positive",4
"1110","music","sadness",4
"1111","notion","positive",4
"1112","operation","fear",4
"1113","operation","trust",4
"1114","organization","anticipation",4
"1115","organization","joy",4
"1116","organization","positive",4
"1117","organization","surprise",4
"1118","organization","trust",4
"1119","overjoyed","joy",4
"1120","overjoyed","positive",4
"1121","permission","positive",4
"1122","poll","trust",4
"1123","providing","anticipation",4
"1124","providing","joy",4
"1125","providing","positive",4
"1126","providing","trust",4
"1127","reading","positive",4
"1128","rejected","negative",4
"1129","reporter","positive",4
"1130","reporter","trust",4
"1131","resign","anger",4
"1132","resign","disgust",4
"1133","resign","fear",4
"1134","resign","negative",4
"1135","resign","sadness",4
"1136","result","anticipation",4
"1137","runaway","negative",4
"1138","runaway","sadness",4
"1139","sea","positive",4
"1140","series","trust",4
"1141","shape","positive",4
"1142","shooting","anger",4
"1143","shooting","fear",4
"1144","shooting","negative",4
"1145","sisterhood","anger",4
"1146","sisterhood","positive",4
"1147","sisterhood","sadness",4
"1148","sisterhood","surprise",4
"1149","sisterhood","trust",4
"1150","slate","positive",4
"1151","spouse","joy",4
"1152","spouse","positive",4
"1153","spouse","trust",4
"1154","subpoena","negative",4
"1155","substantive","positive",4
"1156","successful","anticipation",4
"1157","successful","joy",4
"1158","successful","positive",4
"1159","successful","trust",4
"1160","supplies","positive",4
"1161","supremacy","anger",4
"1162","supremacy","anticipation",4
"1163","supremacy","fear",4
"1164","supremacy","joy",4
"1165","supremacy","negative",4
"1166","supremacy","positive",4
"1167","supremacy","surprise",4
"1168","supremacy","trust",4
"1169","surrogate","trust",4
"1170","talent","positive",4
"1171","taught","trust",4
"1172","tree","anger",4
"1173","tree","anticipation",4
"1174","tree","disgust",4
"1175","tree","joy",4
"1176","tree","positive",4
"1177","tree","surprise",4
"1178","tree","trust",4
"1179","uncomfortable","negative",4
"1180","unique","positive",4
"1181","unique","surprise",4
"1182","wear","negative",4
