Id,Id2,County,2010-CENSUS,"April 1, 2010 - Estimates Base",2010,2011,2012,2013,2014,2015,2016,2017
0500000US05081,5081,"Little River County, Arkansas",13171,13168,13131,12944,12917,12741,12522,12420,12430,12359
0500000US05083,5083,"Logan County, Arkansas",22353,22350,22298,22229,21909,22011,21849,21713,21713,21722
0500000US05085,5085,"Lonoke County, Arkansas",68356,68352,68711,69458,70013,70651,71264,71268,71757,72898
0500000US05087,5087,"Madison County, Arkansas",15717,15722,15684,15656,15590,15674,15721,15696,16105,16339
0500000US05089,5089,"Marion County, Arkansas",16653,16648,16667,16673,16619,16442,16422,16209,16369,16428
0500000US05091,5091,"Miller County, Arkansas",43462,43462,43558,43751,43653,43456,43569,43919,43874,43984
0500000US05093,5093,"Mississippi County, Arkansas",46480,46480,46391,46011,45537,44676,44232,43717,42885,42159
0500000US05095,5095,"Monroe County, Arkansas",8149,8155,8138,8098,7853,7690,7635,7453,7235,7085
0500000US05097,5097,"Montgomery County, Arkansas",9487,9493,9506,9397,9336,9249,9155,9022,8949,8919
0500000US05099,5099,"Nevada County, Arkansas",8997,9017,8995,9005,8907,8774,8651,8515,8374,8327
0500000US05101,5101,"Newton County, Arkansas",8330,8327,8316,8262,8062,8054,7878,7860,7869,7828
0500000US05103,5103,"Ouachita County, Arkansas",26120,26121,26040,25728,25388,24941,24750,24312,24019,23868
0500000US05105,5105,"Perry County, Arkansas",10445,10441,10441,10377,10321,10329,10352,10299,10273,10348
0500000US05107,5107,"Phillips County, Arkansas",21757,21755,21675,21405,20740,20443,19962,19562,19050,18572
0500000US05109,5109,"Pike County, Arkansas",11291,11287,11262,11232,11248,11110,10982,10830,10817,10726
0500000US05111,5111,"Poinsett County, Arkansas",24583,24583,24518,24440,24282,24172,24144,24010,24008,24154
0500000US05113,5113,"Polk County, Arkansas",20662,20658,20669,20554,20416,20344,20253,20203,20141,20118
0500000US05115,5115,"Pope County, Arkansas",61754,61754,62105,62654,62576,62542,63073,63559,63852,63835
0500000US05117,5117,"Prairie County, Arkansas",8715,8719,8724,8600,8484,8377,8349,8301,8271,8248
0500000US05119,5119,"Pulaski County, Arkansas",382748,382786,383536,386679,388738,391068,392434,393107,393677,393956
0500000US05121,5121,"Randolph County, Arkansas",17969,17970,17954,17970,17839,17625,17561,17417,17408,17557
0500000US05123,5123,"St. Francis County, Arkansas",28258,28254,28195,27980,27973,27491,27078,26636,26304,25930
0500000US05125,5125,"Saline County, Arkansas",107118,107123,107644,109509,111360,113276,114781,116304,117577,119323
0500000US05127,5127,"Scott County, Arkansas",11233,11218,11251,11235,11006,10907,10665,10544,10360,10445
0500000US05129,5129,"Searcy County, Arkansas",8195,8190,8177,8070,7996,7981,7915,7828,7965,7938
0500000US05131,5131,"Sebastian County, Arkansas",125744,125766,125755,126926,127441,127067,126683,127387,127567,128107
0500000US05133,5133,"Sevier County, Arkansas",17058,17058,17143,17175,17151,17322,17388,17250,16955,17115
0500000US05135,5135,"Sharp County, Arkansas",17264,17264,17251,17269,17031,17042,16817,16817,17138,17393
0500000US05137,5137,"Stone County, Arkansas",12394,12396,12390,12497,12541,12422,12378,12380,12500,12537
0500000US05139,5139,"Union County, Arkansas",41639,41639,41571,41387,40850,40593,40129,40073,39867,39449
0500000US05141,5141,"Van Buren County, Arkansas",17295,17285,17298,17198,17147,16972,16887,16769,16622,16506
0500000US05143,5143,"Washington County, Arkansas",203065,203041,203970,207734,211222,215525,219442,223851,227600,231996
0500000US05145,5145,"White County, Arkansas",77076,77076,77336,78005,78545,78471,78368,78835,78838,79016
0500000US05147,5147,"Woodruff County, Arkansas",7260,7264,7249,7176,7066,7031,6871,6718,6623,6571
0500000US05149,5149,"Yell County, Arkansas",22185,22185,22142,21924,21791,21779,21737,21482,21486,21523
